map,i,source,s,h,w,e
orz103d,0,16016,4.82120e+06,282322,18628,794206
orz103d,0,27620,4.43248e+06,311036,11382,687969
orz103d,0,33501,3.96325e+06,307626,9271,650012
orz103d,0,32739,3.6505e+06,284148,4403,632695
orz103d,0,2744,3.81008e+06,282006,21555,622874
orz103d,0,27079,3.72506e+06,357662,9508,728984
orz103d,0,6868,3.94171e+06,283084,13799,622508
orz103d,0,17615,3.675e+06,339788,12289,635513
orz103d,0,22963,3.78799e+06,282490,28123,637080
orz103d,0,18651,3.90214e+06,309957,5040,623726
orz103d,0,19414,3.96352e+06,282694,21886,669088
orz103d,0,5453,4.84745e+06,283644,18110,627918
orz103d,0,19466,3.73559e+06,283553,7508,623729
orz103d,0,24900,4.34824e+06,298523,16828,628416
